LocationID,LocationState,LocationZone,LocationType,LocationRegion,LocationRegion,LocationName,Address,LocationPinCode,LocationCity,LocationDistrict,Latitude,Longitude
2371,MAHARASHTRA,WZ,LPG,Maharashtra,Maharashtra,AURANGABAD LPG PLANT,CHIKHALTHANA INDUSTRIAL AREA,431006,AURANGABAD,,19.8761653,75.3433139
2373,MAHARASHTRA,WZ,LPG,Maharashtra,Maharashtra,NASIK LPG PLANT,NEAR JINDAL STEEL,422113,SINNAR,,19.9974533,73.7898023
2891,GOA,WZ,LPG,Goa,Goa,GOA LPG PLANT,KUNDAIM INDUSTRIAL ESTATE,403115,PONDA,,15.2993265,74.123996
2568,MAHARASHTRA,WZ,LPG,Maharashtra,Maharashtra,PATALGANGA LPG PLANT,"VILAGE CHAVANE, TAL. PANVEL",410220,RAIGAD,,18.815147,77.1628959
2732,ANDHRA PRADESH,SCZ,LPG,Andhra Pradesh,Andhra Pradesh,VISAKH NEW LPG TERMINAL,"PORT CONNECTIVITY ROAD ,VISAKHAPATNAM",530014,VISAKHAPATNAM,,,
2731,ANDHRA PRADESH,SCZ,LPG,Andhra Pradesh,Andhra Pradesh,RAJAHMUNDRY LPG PLANT,"KORUKONDA-GOKAVARAM HIGHWAY,",533286,RAJAHMUNDRY,,17.0005383,81.8040345
2715,ANDHRA PRADESH,SCZ,LPG,Andhra Pradesh,Andhra Pradesh,VISAKH LPG PLANT,,,VISAKHAPATNAM,,,
2811,TELANGANA,SCZ,LPG,Telangana,Telangana,CHERLAPALLY LPG PLANT,CHERLAPALLI IDA PHASE III,500051,HYDERABAD,,17.4695033,78.5968268
2829,TELANGANA,SCZ,LPG,Telangana,Telangana,WARANGAL LPG PLANT, MANDAL KAMALAPUR.,505102,WARANGAL,,17.9689008,79.5940544
2921,ANDHRA PRADESH,SCZ,LPG,Andhra Pradesh,Andhra Pradesh,KONDAPALLI LPG PLANT,KONDAPALLI,521228,VIJAYAWADA,,16.6209149,80.5413043
2935,ANDHRA PRADESH,SCZ,LPG,Andhra Pradesh,Andhra Pradesh,ANANTAPUR LPG PLANT,BUKKRAYASAMUDRAM MANDAL,515731,ANANTAPUR,,14.6818877,77.6005911
2792,KARNATAKA,SZ,LPG,Karnataka,Karnataka,YEDIYUR LPG PLANT,TALUQ:KUNIGAL,572142,TUMKUR(DISTRICT),,13.0304846,76.1182236
2779,KARNATAKA,SZ,LPG,Karnataka,Karnataka,MYSORE LPG PLANT,METAGALLI (P.O.),570016,MYSORE,,12.2958104,76.6393805
2777,KARNATAKA,SZ,LPG,Karnataka,Karnataka,MANGALORE LPG PLANT,VIA KATIPALLA,575030,MANGALORE,,12.9141417,74.8559568
2892,KARNATAKA,SZ,LPG,Karnataka,Karnataka,HUBLI LPG PLANT,BELUR,580011,HUBLI,,15.3647083,75.1239547
2844,TAMIL NADU,SZ,LPG,Tamil Nadu,Tamil Nadu,GUMMIDIPOONDI LPG PLANT,GUMMIDIPOONDI,601201,CHENNAI,,13.4107057,80.117821
2947,TAMIL NADU,SZ,LPG,Tamil Nadu,Tamil Nadu,MADURAI LPG PLANT,"SIDCO INDUSTRIAL,KAPPALUR",625008,MADURAI,,9.9252007,78.1197754
2949,KERALA,SZ,LPG,Kerala,Kerala,PALGHAT LPG PLANT,KANJIKODE,678621,PALGHAT,,10.7867303,76.6547932
2959,KERALA,SZ,LPG,Kerala,Kerala,KOCHI LPG PLANT,SEA PORT AIRPORT ROAD,682309,COCHIN,,9.9312328,76.2673041
2982,KARNATAKA,SZ,LPG,Karnataka,Karnataka,MANGALORE LPG PLANT,,,MANGALORE,,,
