LocationID,LocationName,LocationZone,LocationRegion,LocationDistrict,LocationState,Latitude,Longitude,LocationPinCode,LocationCity,Address,LocationType
1554,MR-II TERMINAL,WZ,Maharashtra,,Maharastra,19.015922,72.903811,400074,MUMBAI,"CTS NO. 382, ANIK VILLAGE.,HINDUSTAN PETROLEUM CORPORATION LIMITED",TAS
1583,KANDLA TERMINAL,NWZ,Gujarat,,Gujarat,23.0713626,70.1609357,370201,GANDHIDAM,"P.O. BOX NO. 43,VILLAGE KHARIROHAR",TAS
1584,LONI TERMINAL,WZ,Maharashtra,,Maharastra,18.5329753,73.9709876,412201,PUNE,"LONI TERMINAL,HINDUSTAN PETROLEUM CORPORATION LTD",TAS
1585,MAHUL TERMINAL,WZ,Maharastra,,Maharastra,,,400074,MUMBAI,"B.D.PATIL MARG, OLD CORRIDOR ROAD,,HINDUSTAN PETROLEUM CORPORATION LTD.",TAS
1588,VASHI  WHITE OIL TERMINAL,WZ,Maharastra,,Maharastra,19.0579821,19.0579821,400705,NAVI MUMBAI,"VASHI TERMINAL,HINDUSTAN PETROLEUM CORPORATION LTD",TAS
1630,PARADEEP TERMINAL ,ECZ,Odisha,,Odisha,20.2820189,86.6218899,754120,PARADEEP,"DIST JAGATSINGHPUR,HINDUSTAN PETROLEUM CORPORATION",TAS
1636,BALASORE DEPOT,ECZ,Odisha,,Odisha,21.4974175,86.8459905,756019,SOMNATHPUR,"SOMNATHPUR,HINDUSTAN PETROLEUM CORPORATION LTD",TAS
1644,KOLKATA-I TERMINAL,EZ,West Bengal,,West Bengal,22.48405021,88.17820134,700137,BUDGE BUDGE,"1,GRAHAM ROAD,HINDUSTAN PETROLEUM CORPORATION LTD",TAS
1650,HALDIA TERMINAL,EZ,West Bengal,,West Bengal,22.04708113,88.09602525,721602,HALDIA,"DURGACHAK,PB 6 , BRINDABANCHAK,",TAS
1656,DURGAPUR DEPOT,EZ,West Bengal,,West Bengal,23.4864772,87.3837499,713212,BURDWAN,"NH -2 RAJBANDH CHATTI,HPCL,DURGAPUR IRD",TAS
1677,GUWAHATI DEPOT,EZ,Assam,,Assam,26.1160125,93.7292031,781034,GUWAHATI,"BETKUCHI,PO SAWKUCHI,HPCL,GUWAHATI IRD",TAS
1712,BARAUNI DEPOT,ECZ,Bihar,,Bihar,25.4438521,86.0490267,851210,Begusarai,"HPCL BARAUNI TERMINAL,At & PO Papraur,NH31,BARAUNI",TAS
1723,PATNA DEPOT,ECZ,Bihar,,Bihar,25.5563875,84.8595156,801103,PATNA,"LAI ROAD, BIHTA,HINDUSTAN PETROLEUM CORP. LTD.",TAS
1742,BOKARO DEPOT,ECZ,Jharkhand,,Jharkhand,23.6773353,86.0680541,827014,BOKARO,"H PCL , BOKARO DEPOT,BOKARO DEPOT",TAS
1775,BENGALURU TERMINAL,SWZ,Karnataka,,Karnataka,12.985671,77.847459,560067,BENGALURU,"DEVANGUNDI VILLEGE,HINDUSTAN PETROLEUM CORPORATION LIMITED",TAS
1777,HASSAN TERMINAL,SWZ,Karnataka,,Karnataka,12.9869375,76.1181875,573201,Hassan,"HINDUSTAN PETROLEUM CORPORATION LIMITED,PLOT NO1A, KIADB INDUSTRIAL AREA,POST BOX NO. 119,MYSORE ROAD",TAS
1797,GULBARGA DEPOT,SWZ,Karnataka,,Karnataka,17.2713125,76.8730625,585228,GULBARGA,"HINDUSTAN PERTOLEUM CORPORATION LTD.,KIADB INDUSTRIAL AREA,SHAHBAD ROAD,NANDUR,GULBARGA",TAS
1800,HUBLI DEPOT,SWZ,Karnataka,,Karnataka,15.41368,75.0665902,580009,DHARWAR,"47, RAYAPUR INDUSTRIAL AREA,HINDUSTAN PETROLEUM CORPORATION LIMITED",TAS
1845,IRUMPANAM TERMINAL,SWZ,Kerala,,Kerala,9.9866451,76.3540642,682309,COCHIN,"IRUMBANAM TERMINAL ,,HINDUSTAN PETROLEUM CORPORATION LTD",TAS
1856,COIMBATORE DEPOT,SZ,Tamilnadu,,TamilNadu,11.0308588,77.0811634,641103,COIMBATORE,"IRUGUR PO,A.G.PUDUR",TAS
1871,MADURAI DEPOT,SZ,Tamilnadu,,TamilNadu,9.8513625,78.0321406,625008,MADURAI,"SOUTH PHASE,,PLOT 167-172,",TAS
1879,TIRUNELVELI DEPOT,SZ,TamilNadu,,TamilNadu,,,627358,TIRUNELVELI,"TACHANALLUR P.O.,BG GOOD SHED ROAD",TAS
1892,KOZHIKODE DEPOT,SWZ,Kerala,,Kerala,11.246412,75.7806063,673303,KOZHIKODE,"ELATHUR,NEAR RAILWAY STATION",TAS
1895,MANGALORE TERMINAL,SWZ,Karnataka,,Karnataka,12.9768125,74.8378125,575030,MANGALORE,"VILLAGE - BALA,HINDUSTAN PETROLEUM CORPORATION LTD",TAS
1915,RAMAGUNDAM DEPOT,SCZ,Telangana,,Telangana,18.743895,79.431809,505208,RAMAGUNDAM,"RAMAGUNDAM IRD,HINDUSTAN PETROLEUM CORPN. LTD.",TAS
1919,SECUNDERABAD TERMINAL,SCZ,Telangana,,Telangana,17.4593125,78.7141875,501301,HYDERABAD,"GHATKESAR TERMINAL,HINDUSTAN PETROLEUM CORPORATION LTD",TAS
1937,SURYAPET TERMINAL,SCZ,Telangana,,Telangana,17.0860375,79.6644531,508213,SURYAPET,"SURYAPET TERMINAL,HINDUSTAN PETROLEUM CORPORATION LTD",TAS
1940,KADAPA DEPOT,SCZ,Andhra Pradesh,,Andhra Pradesh,14.4169875,78.9418906,516247,KADAPA,"HINDUSTAN PETROLEUM CORPORATION LTD.,,KADAPA-NEW-IRD",TAS
1953,RAJAHMUNDRY TERMINAL,SCZ,Andhra Pradesh,,Andhra Pradesh,17.2030625,81.8463125,533289,RAJAHMUNDRY,"RAJAHMUNDRY TERMINAL,HINDUSTAN PETROLEUM CORPORATION LTD",TAS
1973,CASSIMODE BLACK OIL TERMINAL,SZ,Tamilnadu,,TamilNadu,13.1163423,80.2963951,600013,CHENNAI,"RAYAPURAM,22, SHAIK MAISTRY STREET",TAS
1979,VIJAYAWADA TERMINAL,SCZ,Andhra Pradesh,,Andhra Pradesh,16.6553875,80.5604531,521228,VIJAYAWADA,"VIJAYAWADA TERMINAL,HINDUSTAN PETROLEUM CORPORATION LTD",TAS
1991,CHENNAI TERMINAL,SZ,Tamilnadu,,TamilNadu,13.2430625,80.3106719,600120,THIRUVALLUVAR,"ATHIPATTU VILLAGE, PONNERI TALUKA,NEAR ATHIPATTU PUDU NAGAR RLY. STN.,",TAS
1992,VISAKH WHITE OIL TERMINAL,SCZ,Andhra Pradesh,,Andhra Pradesh,17.7176,83.244415,530014,VISAKHAPATNAM,"OPP. VVSPL, VISAKHA DESPATCH SECTION,VISAKHA TERMINAL RESITEMENT PROJECT",TAS
1999,DHARAMAPURI TERMINAL,SZ,Tamilnadu,,TamilNadu,12.0611574,78.1135986,636807,DHARMAPURI,"SIVADI VILLAGE,HINDUSTAN PETROLEUM CORPORATION LTD",TAS
3129,HMEL BITUMEN TERMINAL,NFZ,Punjab,,Punjab,,,151301,BATHINDA,"VILLAGE PHULOKHERI TALUKA TALWANDI SUBO,HPCL BITUMEN TML C/O HPCL-MITTAL ENERGY",TAS
3562,VASHI BLACK OIL DEPOT,WZ,Maharashtra,,Maharastra,19.0579821,19.0579821,400705,NAVI MUMBAI,"VASHI BLACK OIL TERMINAL,HINDUSTAN PETROLEUM CORPORATION LTD,",TAS
3693,KAKINADA TERMINAL,SCZ,Andhra Pradesh,,Andhra Pradesh,,,533005,KAKINADA,"BEACH ROAD,NAGARJUNA FERTILLIZERS &CHEM LTD",TAS
3718,VISAKH BLACK OIL TERMINAL,SCZ,Andhra Pradesh,,Andhra Pradesh,17.690881,83.262348,530011,VISAKHAPATNAM,"NEW BLACK OIL TERMINAL,,HINDUSTAN PETROLEUM CORPORATION LTD",TAS
3833,COCHIN BLACK TERMINAL,SWZ,Kerala,,Kerala,,,682016,ERNAKULAM,"COCHIN TERMINAL ,,HINDUSTAN PETROLEUM CORPORATION LTD",TAS
