ORG_SA_CD,ORG_RO_NM
405,DURGAPUR LPG RO
449,DURGAPUR LPG RO
450,DURGAPUR LPG RO
320,PURNEA LPG RO
432,PURNEA LPG RO
453,PURNEA LPG RO
454,PURNEA LPG RO
333,SOLAPUR LPG RO
394,SOLAPUR LPG RO
429,SOLAPUR LPG RO
383,BAREILLY LPG RO
413,BAREILLY LPG RO
427,BAREILLY LPG RO
391,MUZZAFFARPUR LPG RO
428,MUZZAFFARPUR LPG RO
439,MUZZAFFARPUR LPG RO
313,SAMBALPUR LPG RO
398,SAMBALPUR LPG RO
424,SAMBALPUR LPG RO
443,SAMBALPUR LPG RO
322,SILIGURI LPG RO
404,SILIGURI LPG RO
451,SILIGURI LPG RO
452,SILIGURI LPG RO
633,RETAIL HQO
002,AGRA RET RO
003,AGRA RET RO
004,AGRA RET RO
228,AGRA RET RO
665,PETROCHEMICAL HQO
610,AGRA RET RO
016,JAIPUR I&C RO
199,SECUNDRABAD I&C RO
667,Jhansi
157,MEERUT RET RO
227,MEERUT RET RO
288,MEERUT RET RO
010,CHANDIGARH RET RO
011,CHANDIGARH RET RO
014,CHANDIGARH RET RO
024,CHANDIGARH RET RO
204,CHANDIGARH RET RO
206,CHANDIGARH RET RO
667,Panipat
017,DELHI RET RO
018,DELHI RET RO
147,DELHI RET RO
019,JAIPUR RET RO
020,JAIPUR RET RO
023,JAIPUR RET RO
148,JAIPUR RET RO
241,JAIPUR RET RO
612,JAIPUR RET RO
026,JAMMU & KASHMIR RET
193,JAMMU & KASHMIR RET
271,JAMMU & KASHMIR RET
622,JAMMU & KASHMIR RET
028,JODHPUR RET RO
144,JODHPUR RET RO
149,JODHPUR RET RO
239,JODHPUR RET RO
273,JODHPUR RET RO
031,LUCKNOW RET RO
034,LUCKNOW RET RO
150,LUCKNOW RET RO
675,JODHPUR RET RO
272,LUCKNOW RET RO
673,GUWAHATI RET RO
657,PUNE LUBES RO
035,VARANASI RET RO
151,VARANASI RET RO
152,VARANASI RET RO
291,VARANASI RET RO
039,PANIPAT RET RO
041,PANIPAT RET RO
146,PANIPAT RET RO
285,PANIPAT RET RO
290,PANIPAT RET RO
042,BHUBANESHWAR RET
044,BHUBANESHWAR RET
246,BHUBANESHWAR RET
247,BHUBANESHWAR RET
526,BHUBANESWAR LUBES RO
046,KOLKATA RET RO
047,KOLKATA RET RO
048,KOLKATA RET RO
053,KOLKATA RET RO
054,GUWAHATI RET RO
143,GUWAHATI RET RO
215,GUWAHATI RET RO
626,GUWAHATI RET RO
056,PATNA RET RO
058,PATNA RET RO
059,PATNA RET RO
159,PATNA RET RO
270,PATNA RET RO
604,PATNA RET RO
061,RANCHI RET RO
650,BENGALURU LUBES RO
063,RANCHI RET RO
668,BARODA RET RO
680,RAIPUR RET RO
618,RANCHI RET RO
064,AHMEDABAD RET RO
065,AHMEDABAD RET RO
066,AHMEDABAD RET RO
168,AHMEDABAD RET RO
278,AHMEDABAD RET RO
619,AHMEDABAD RET RO
620,AHMEDABAD RET RO
068,AURANGABAD RET RO
163,AURANGABAD RET RO
169,AURANGABAD RET RO
265,AURANGABAD RET RO
274,AURANGABAD RET RO
615,AURANGABAD RET RO
069,BARODA RET RO
070,BARODA RET RO
071,BARODA RET RO
164,BARODA RET RO
257,BARODA RET RO
006,MEERUT RET RO
074,BHOPAL RET RO
075,BHOPAL RET RO
671,COIMBATORE RET RO
250,BHOPAL RET RO
276,BHOPAL RET RO
076,INDORE RET RO
077,INDORE RET RO
167,INDORE RET RO
238,INDORE RET RO
255,INDORE RET RO
281,INDORE RET RO
078,MUMBAI RET RO
079,MUMBAI RET RO
080,MUMBAI RET RO
082,MUMBAI RET RO
083,NAGPUR RET RO
085,NAGPUR RET RO
189,NAGPUR RET RO
230,NAGPUR RET RO
275,NAGPUR RET RO
623,NAGPUR RET RO
086,PUNE RET RO
087,PUNE RET RO
090,PUNE RET RO
216,PUNE RET RO
256,PUNE RET RO
286,PUNE RET RO
092,RAIPUR RET RO
171,RAIPUR RET RO
245,RAIPUR RET RO
253,RAIPUR RET RO
093,RAJKOT RET RO
094,RAJKOT RET RO
172,RAJKOT RET RO
258,RAJKOT RET RO
617,RAJKOT RET RO
089,VASCO RET RO
095,VASCO RET RO
170,VASCO RET RO
223,VASCO RET RO
081,VASHI RET RO
097,VASHI RET RO
098,VASHI RET RO
237,VASHI RET RO
100,BENGALURU RET RO
101,BENGALURU RET RO
173,BENGALURU RET RO
221,BENGALURU RET RO
252,BENGALURU RET RO
607,BENGALURU RET RO
102,BELGAUM RET RO
103,BELGAUM RET RO
175,BELGAUM RET RO
222,BELGAUM RET RO
605,BELGAUM RET RO
613,BELGAUM RET RO
105,CHENNAI RET RO
106,CHENNAI RET RO
107,CHENNAI RET RO
108,CHENNAI RET RO
109,CHENNAI RET RO
176,CHENNAI RET RO
111,COCHIN RET RO
112,COCHIN RET RO
