LOAD_NUMBER,TRUCK_NUMBER,CREATED_DATE,CUSTOMER_NAME,PRODUCT_NAME,REQUIRED_QTY,CANCELLED_BY,CANCELLED_DATE
421450,NL01AJ1860,2025-02-19 17:21:40,FRIENDS FILLING CENTRE,BS VI HSD,9000,31957820,2025-02-19 17:22:40
421402,UP53JT8293,2025-02-19 13:06:46,NEL- MATHURA,BS VI HSD,15000,31957820,2025-02-19 16:51:37
421402,UP53JT8293,2025-02-19 13:06:46,NEL- MATHURA,EBMS 20%,5000,31957820,2025-02-19 16:51:37
421450,NL01AJ1860,2025-02-19 17:21:40,FRIENDS FILLING CENTRE,EBMS 20%,5000,31957820,2025-02-19 17:22:40
